,title,imdb_rating,US_box_office,runtime
34,The Strangers: Prey at Night,5.2,24.43,85
35,The People Under the Stairs,6.4,24.20,102
36,Don't Be Afraid of the Dark,5.5,24.04,99
37,Graduation Day,4.8,23.89,96
38,The New Mutants,5.3,23.86,94
39,House of Wax,7.0,23.75,88
40,The Wicker Man,3.7,23.64,102
41,Ghost Story,6.3,23.37,110
42,The Covenant,5.1,23.29,97
43,Stay Alive,5.0,23.09,85
44,Beloved,6.0,22.85,172
45,The Gallows,4.2,22.76,81
46,The First Power,5.7,22.42,98
47,The Bye Bye Man,4.3,22.38,96
48,47 Meters Down: Uncaged,5.0,22.26,90
49,A Nightmare on Elm Street: The Dream Child,5.0,22.17,89
0,Darkness,5.4,22.16,88
1,Mary Shelley's Frankenstein,6.3,22.01,123
2,Friday the 13th: A New Beginning,4.7,21.93,92
3,Hellboy,5.2,21.90,120
4,Friday the 13th Part 2,6.1,21.72,87
5,Overlord,6.6,21.70,110
6,Urban Legends: Final Cut,4.3,21.47,97
7,Psycho,4.6,21.46,105
8,The Darkest Hour,4.9,21.43,89
9,When a Stranger Calls,6.4,21.41,97
10,The Fog,6.8,21.38,89
11,Raising Cain,6.0,21.37,92
12,Christine,6.7,21.20,110
13,Cujo,6.1,21.20,93
14,"As Above, So Below",6.2,21.20,93
15,Cabin Fever,5.6,21.16,93
16,Stir of Echoes,6.9,21.13,99
17,Tales from the Crypt: Demon Knight,6.7,21.09,92
18,Creepshow,6.8,21.03,120
19,The X Files: I Want to Believe,5.9,20.98,104
20,The Hills Have Eyes 2,5.1,20.80,89
21,Blair Witch,5.0,20.78,89
22,The Dead Zone,7.2,20.77,103
23,Jaws: The Revenge,3.0,20.76,89
24,Land of the Dead,6.2,20.70,93
25,The Final Conflict,5.5,20.47,108
26,Valentine,4.9,20.38,96
27,Pulse,4.7,20.26,90
28,Vampires,6.1,20.24,108
29,Dracula,6.5,20.16,109
30,The Fly II,5.1,20.02,105
31,Altered States,6.9,19.85,102
32,Vampire in Brooklyn,4.6,19.75,100
33,The Serpent and the Rainbow,6.4,19.60,98
34,Igor,5.9,19.53,87
35,Friday the 13th Part VI: Jason Lives,6.0,19.47,86
36,House,6.1,19.44,93
37,Vacancy,6.2,19.36,85
38,Cursed,5.0,19.30,97
39,Willard,6.2,19.22,95
40,Friday the 13th Part VII: The New Blood,5.2,19.17,88
41,Species II,4.5,19.17,89
42,The Seventh Sign,5.8,18.88,97
43,Shark Night,4.0,18.87,90
44,The Believers,6.1,18.75,114
45,You're Next,6.6,18.47,95
46,Prophecy,5.5,18.39,102
47,Paranormal Activity: The Ghost Dimension,4.6,18.30,88
48,Fright Night,6.4,18.30,106
49,Chernobyl Diaries,5.0,18.12,86
0,New Nightmare,6.4,18.09,112
1,The Howling,6.5,17.99,91
2,The Crow: City of Angels,4.6,17.88,84
3,Mother!,6.6,17.80,121
4,Halloween 4: The Return of Michael Myers,5.8,17.77,88
5,The Rage: Carrie 2,4.7,17.76,104
6,Apollo 18,5.2,17.69,86
7,Hostel: Part II,5.5,17.61,94
8,Silent Hill: Revelation,4.9,17.53,95
9,The Curse of Frankenstein,7.0,17.44,82
10,The Ruins,5.9,17.43,90
11,Dark Skies,6.3,17.41,97
12,Disturbing Behavior,5.6,17.41,84
13,A Haunted House 2,4.6,17.33,86
14,Eight Legged Freaks,5.5,17.32,99
15,Brightburn,6.1,17.30,90
16,Underwater,5.9,17.29,95
17,Angel Heart,7.2,17.19,113
18,Diabolique,5.4,17.10,107
19,Pet Sematary II,4.9,17.09,100
20,Seed of Chucky,4.9,17.08,87
21,The Devil's Rejects,6.7,17.04,107
22,The Guardian,5.3,17.04,92
23,Resident Evil: Welcome to Raccoon City,5.2,17.00,107
24,Kingdom of the Spiders,5.7,17.00,97
25,Splice,5.8,17.00,104
26,The Thing,6.2,16.93,103
27,Flatliners,5.2,16.87,109
28,Dead Silence,6.1,16.81,89
29,Lost Souls,4.8,16.78,97
30,The Frighteners,7.1,16.76,110
31,Hellraiser: Bloodline,5.0,16.68,85
32,Tremors,7.1,16.67,96
33,Buffy the Vampire Slayer,5.7,16.62,86
34,Shocker,5.5,16.55,109
35,Tales from the Darkside: The Movie,6.2,16.32,93
36,An American Haunting,5.0,16.30,83
37,Black Christmas,4.6,16.24,95
38,Jennifer's Body,5.4,16.20,102
39,Wolf Creek,6.2,16.19,99
40,The Prophecy,6.4,16.12,98
41,Jason Goes to Hell: The Final Friday,4.1,15.94,87
42,Devil's Due,4.1,15.82,89
43,Wishmaster,5.8,15.72,90
44,The Island,5.3,15.72,109
45,Leviathan,5.8,15.70,98
46,Killer Klowns from Outer Space,6.2,15.63,88
47,Wrong Turn,6.1,15.42,84
48,Gretel & Hansel,5.5,15.35,87
49,Needful Things,6.2,15.19,120
0,The Last Exorcism Part II,4.0,15.18,88
1,Thinner,5.8,15.17,93
2,Halloween: The Curse of Michael Myers,4.7,15.12,87
3,Firestarter,6.0,15.10,114
4,American Psycho,7.6,15.07,102
5,See No Evil,5.0,15.03,84
6,The Cave,5.1,15.01,97
7,Child's Play 3,5.1,14.96,90
8,The Prodigy,5.9,14.86,92
9,The Possession of Hannah Grace,5.2,14.84,86
10,Prom Night,5.3,14.80,92
11,Orca,5.7,14.72,92
12,It Follows,6.8,14.67,100
13,My Soul to Take,4.7,14.64,107
14,Children of the Corn,5.6,14.57,92
15,Hellraiser,6.9,14.56,94
16,The Vanishing,6.3,14.54,109
17,Psycho III,5.4,14.48,93
18,Night of the Comet,6.3,14.42,95
19,Halloween III: Season of the Witch,5.1,14.40,98
20,Godsend,4.8,14.38,102
21,Friday the 13th Part VIII: Jason Takes Manhattan,4.5,14.34,100
22,Wish Upon,5.0,14.30,90
23,The Return of the Living Dead,7.3,14.24,91
24,Scanners,6.7,14.23,103
25,Supernova,4.8,14.22,90
26,Prince of Darkness,6.7,14.18,102
27,Ernest Scared Stupid,5.7,14.14,91
28,Poltergeist III,4.7,14.11,98
29,Virus,5.0,14.01,99
30,Creepshow 2,6.0,14.00,92
31,It Comes at Night,6.2,13.99,91
32,Candyman: Farewell to the Flesh,5.2,13.94,95
33,The Thing,8.2,13.78,109
34,Shaun of the Dead,7.9,13.54,99
35,The Gate,6.0,13.54,85
36,The Haunting of Molly Hartley,3.9,13.35,85
37,Lord of Illusions,6.0,13.29,109
38,The Entity,6.7,13.28,125
39,Visiting Hours,5.7,13.26,103
40,Case 39,6.2,13.25,109
41,Feardotcom,3.4,13.21,101
42,Critters,6.1,13.17,86
43,Jason X,4.4,13.12,92
44,Cat's Eye,6.3,13.09,94
45,They Live,7.2,13.01,94
46,Man's Best Friend,5.2,12.97,87
47,April Fool's Day,6.1,12.95,89
48,The Collection,6.1,12.84,82
49,They,4.8,12.84,89
0,Race with the Devil,6.6,12.64,88
1,House of 1000 Corpses,6.0,12.63,89
2,Silent House,5.2,12.56,86
3,Hellraiser III: Hell on Earth,5.5,12.53,97
4,Amityville II: The Possession,5.5,12.53,104
5,Hideaway,5.3,12.20,106
6,Let Me In,7.1,12.13,116
7,The Gift,6.7,12.01,111
8,Phantasm,6.6,11.99,89
9,Sorority Row,5.1,11.96,101
10,Tales from the Hood,6.5,11.80,98
11,Halloween 5: The Revenge of Michael Myers,4.9,11.64,96
12,Lifeforce,6.1,11.60,101
13,Graveyard Shift,4.9,11.58,86
14,Army of Darkness,7.4,11.50,81
15,Dreamscape,6.3,11.48,99
16,The Birds,7.6,11.40,119
17,Brotherhood of the Wolf,7.0,11.26,142
18,Deep Rising,6.1,11.20,106
19,Dead Awake,4.6,11.11,99
20,Hell Fest,5.5,11.11,89
21,Hellbound: Hellraiser II,6.4,11.09,97
22,Sleepaway Camp,6.2,11.00,84
23,Pride and Prejudice and Zombies,5.8,10.91,108
24,Dracula: Dead and Loving It,5.8,10.77,88
25,The Darkness,4.5,10.73,92
26,Wolfen,6.3,10.63,115
27,Primeval,4.8,10.60,93
28,Silent Rage,5.4,10.49,103
29,The Witches,6.8,10.36,91
30,Pandorum,6.7,10.33,108
31,House of the Dead,2.1,10.25,90
32,Flesh for Frankenstein,5.8,10.25,95
33,The Belko Experiment,6.1,10.16,89
34,Bats,4.0,10.16,91
35,Class Reunion,4.6,10.05,84
36,Cry Wolf,5.8,10.05,90
