title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Transformations,en,1988-09-02,3.049,11,3.9,0.0,Science Fiction,,1988
Creature with the Blue Hand,de,1967-04-28,3.049,14,6.3,0.0,Crime,,1967
Doll Cemetery,en,2019-08-23,3.049,18,5.7,0.0,Drama,,2019
Breaking Dawn,en,2004-10-16,3.048,22,5.5,0.0,Mystery,,2004
Enter the Devil,it,1974-11-06,3.048,9,5.4,0.0,Horror,,1974
Me and My Mates vs. The Zombie Apocalypse,en,2015-08-03,3.048,15,4.1,0.0,Comedy,,2015
My Girlfriend is a Serial Killer,ja,2019-11-29,3.048,12,5.6,0.0,Crime,,2019
Girl Next,en,2021-06-18,3.048,8,6.3,0.0,Thriller,,2021
Evil Eyes,en,2004-08-04,3.047,11,3.1,0.0,Horror,,2004
Night of the Demon,en,1980-02-04,3.046,41,4.5,70000.0,Horror,,1980
Alien Abduction,en,2005-03-02,3.046,14,4.1,600000.0,Science Fiction,,2005
The Campus,en,2018-01-26,3.045,15,4.1,0.0,Horror,,2018
Carnivore: Werewolf of London,en,2017-12-04,3.044,11,3.9,0.0,Horror,,2017
Haunting at the Rectory,en,2015-06-15,3.043,15,4.4,0.0,Horror,American Poltergeist,2015
The Kindred,en,1987-01-09,3.042,45,6.2,0.0,Science Fiction,,1987
Nothing But the Night,en,1973-02-16,3.041,22,6.0,0.0,Crime,,1973
Killing Birds,it,1988-08-19,3.041,32,3.4,0.0,Horror,,1988
Knuckleball,en,2018-04-17,3.041,34,5.9,0.0,Thriller,,2018
The Guard Post,ko,2008-04-03,3.04,45,5.6,0.0,Mystery,,2008
Zaat,en,1971-01-01,3.039,36,2.8,0.0,Science Fiction,,1971
The Forbidden Door,id,2009-01-22,3.039,35,7.2,0.0,Drama,,2009
The Blackout,en,2009-01-01,3.038,21,4.0,0.0,Science Fiction,,2009
The Corridor,en,2012-03-30,3.038,38,4.6,0.0,Drama,,2012
Hollow,en,2011-07-31,3.038,46,4.8,0.0,Thriller,,2011
Grave of the Vampire,en,1972-08-23,3.036,23,6.1,50000.0,Horror,,1972
Devi(L),ta,2016-10-07,3.036,20,5.8,0.0,Comedy,Devi Collection,2016
Tales of the Bizarre: The Movie,ja,2000-11-03,3.035,7,6.6,0.0,Comedy,Tales of the Bizarre,2000
The Night of the Sharks,it,1988-04-01,3.035,11,3.0,0.0,Action,,1988
Absurd Encounter with Fear,en,1967-03-05,3.035,44,5.4,0.0,Fantasy,,1967
School Tales,th,2017-01-12,3.035,3,7.0,0.0,Horror,,2017
The Rizen,en,2017-01-01,3.035,12,5.3,0.0,Action,,2017
Guimoon: The Lightless Door,ko,2021-08-25,3.035,72,6.8,0.0,Thriller,,2021
Invasion of the Pod People,en,2007-07-24,3.034,21,4.4,750000.0,Science Fiction,,2007
The Doctor and the Devils,en,1985-10-04,3.034,38,6.5,0.0,Horror,,1985
Cleavers: Killer Clowns,en,2019-03-31,3.034,11,6.5,0.0,Horror,,2019
Summer of Blood,en,2014-10-17,3.033,29,4.8,0.0,Comedy,,2014
Riddle Room,en,2016-02-16,3.033,18,3.0,0.0,Horror,,2016
The Skeleton of Mrs. Morales,es,1960-05-26,3.032,41,8.2,0.0,Comedy,,1960
Edgar Allan Poe's Buried Alive,en,1989-09-01,3.031,9,4.4,0.0,Thriller,,1989
Ghost of Mae Nak,th,2005-09-15,3.031,30,5.4,0.0,Drama,,2005
Anneliese: The Exorcist Tapes,en,2011-10-17,3.031,20,3.3,0.0,Horror,,2011
Spawn of the Slithis,en,1978-07-21,3.031,30,4.9,0.0,Science Fiction,,1978
The New Freddy,es,2019-09-15,3.031,3,8.0,0.0,Comedy,,2019
The Bat People,en,1974-01-15,3.03,30,3.4,0.0,Horror,,1974
The Sighting,en,2016-05-10,3.03,17,3.3,0.0,Thriller,,2016
Vampire,en,1979-10-07,3.03,4,7.5,0.0,TV Movie,,1979
Know Fear,en,2022-01-20,3.03,3,7.0,0.0,Horror,,2022
Sideshow,en,2000-07-11,3.029,6,4.8,120000.0,Horror,,2000
The Boy Who Cried Werewolf,en,1973-08-01,3.029,14,5.6,0.0,Horror,,1973
The House of the Blue Shadows,it,1986-01-01,3.027,4,7.3,0.0,Mystery,,1986
Still 2,th,2014-02-27,3.027,6,4.7,0.0,Horror,Still Collection,2014
Merlin's Shop of Mystical Wonders,en,1996-01-01,3.026,32,2.3,0.0,Fantasy,,1996
Dream Demon,en,1988-10-06,3.026,15,5.5,0.0,Horror,,1988
Butter on the Latch,en,2013-05-09,3.025,23,5.1,0.0,Drama,,2013
Faces of Death III,en,1985-03-10,3.023,27,3.1,0.0,Documentary,Faces of Death Collection,1985
Deadtime Stories,en,2009-10-28,3.021,17,4.4,0.0,Horror,Deadtime Stories,2009
Death Screams,en,1982-05-01,3.021,17,4.1,0.0,Horror,,1982
The Redeemer: Son of Satan!,en,1978-04-07,3.021,26,5.0,0.0,Horror,,1978
Habit,en,1996-08-31,3.02,29,5.8,200000.0,Thriller,,1996
"Mumsy, Nanny, Sonny & Girly",en,1970-02-12,3.019,29,6.0,0.0,Comedy,,1970
Toad Road,en,2013-10-25,3.019,25,4.9,0.0,Thriller,,2013
Cannibal Terror,fr,1980-10-21,3.017,18,2.7,0.0,Horror,,1980
Gorenos,en,2016-06-05,3.016,11,4.5,0.0,Horror,,2016
The Telling,en,2009-04-14,3.015,14,4.1,0.0,Thriller,,2009
Something Beneath,en,2007-10-21,3.015,17,3.8,0.0,Science Fiction,Maneater Series,2007
Grandmother's House,en,1988-12-16,3.015,36,5.3,0.0,Thriller,,1988
"Exorcism at 60,000 Feet",en,2019-08-09,3.014,13,5.9,0.0,Comedy,,2019
Varsity Blood,en,2014-08-19,3.013,15,3.9,0.0,Horror,,2014
Hypersomnia,es,2017-03-30,3.013,44,5.0,0.0,Fantasy,,2017
U Turn,ta,2018-09-13,3.013,31,7.0,0.0,Crime,,2018
Curse,cn,1987-01-14,3.012,3,3.7,0.0,Horror,,1987
